word,pos,level,notes,
refreshingly,adverb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'refreshingly' and dwtm.pos='adverb' and dwtm.wid=dw.id;"
effortless,adjective,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'effortless' and dwtm.pos='adjective' and dwtm.wid=dw.id;"
vegetation,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'vegetation' and dwtm.pos='noun' and dwtm.wid=dw.id;"
brief,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'brief' and dwtm.pos='verb' and dwtm.wid=dw.id;"
respite,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'respite' and dwtm.pos='noun' and dwtm.wid=dw.id;"
suffice,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'suffice' and dwtm.pos='verb' and dwtm.wid=dw.id;"
purity,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'purity' and dwtm.pos='noun' and dwtm.wid=dw.id;"
gruelling,adjective,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'gruelling' and dwtm.pos='adjective' and dwtm.wid=dw.id;"
cast,noun,c1,"plaster cast, mold","update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'cast' and dwtm.pos='noun' and dwtm.wid=dw.id;"
cast,verb,c1,hire actors,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'cast' and dwtm.pos='verb' and dwtm.wid=dw.id;"
cast,verb,c1,say or suggest something (e.g. doubt),"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'cast' and dwtm.pos='verb' and dwtm.wid=dw.id;"
comprise,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'comprise' and dwtm.pos='verb' and dwtm.wid=dw.id;"
plaster,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'plaster' and dwtm.pos='noun' and dwtm.wid=dw.id;"
plaster,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'plaster' and dwtm.pos='verb' and dwtm.wid=dw.id;"
darkroom,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'darkroom' and dwtm.pos='noun' and dwtm.wid=dw.id;"
induct,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'induct' and dwtm.pos='verb' and dwtm.wid=dw.id;"
induction,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'induction' and dwtm.pos='noun' and dwtm.wid=dw.id;"
stock,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'stock' and dwtm.pos='verb' and dwtm.wid=dw.id;"
fossil,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'fossil' and dwtm.pos='noun' and dwtm.wid=dw.id;"
geological,adjective,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'geological' and dwtm.pos='adjective' and dwtm.wid=dw.id;"
geologically,adverb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'geologically' and dwtm.pos='adverb' and dwtm.wid=dw.id;"
house,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'house' and dwtm.pos='verb' and dwtm.wid=dw.id;"
specimen,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'specimen' and dwtm.pos='noun' and dwtm.wid=dw.id;"
enormously,adverb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'enormously' and dwtm.pos='adverb' and dwtm.wid=dw.id;"
gem,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'gem' and dwtm.pos='noun' and dwtm.wid=dw.id;"
explanatory,adjective,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'explanatory' and dwtm.pos='adjective' and dwtm.wid=dw.id;"
vertical,adjective,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'vertical' and dwtm.pos='adjective' and dwtm.wid=dw.id;"
knowledgeable,adjective,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'knowledgeable' and dwtm.pos='adjective' and dwtm.wid=dw.id;"
ordinarily,adverb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'ordinarily' and dwtm.pos='adverb' and dwtm.wid=dw.id;"
hanging,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'hanging' and dwtm.pos='noun' and dwtm.wid=dw.id;"
hanging,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'hanging' and dwtm.pos='noun' and dwtm.wid=dw.id;"
tomb,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'tomb' and dwtm.pos='noun' and dwtm.wid=dw.id;"
formulate,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'formulate' and dwtm.pos='verb' and dwtm.wid=dw.id;"
resin,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'resin' and dwtm.pos='noun' and dwtm.wid=dw.id;"
sacrifice,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'sacrifice' and dwtm.pos='noun' and dwtm.wid=dw.id;"
sacrifice,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'sacrifice' and dwtm.pos='verb' and dwtm.wid=dw.id;"
cleanly,adverb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'cleanly' and dwtm.pos='adverb' and dwtm.wid=dw.id;"
endorsement,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'endorsement' and dwtm.pos='noun' and dwtm.wid=dw.id;"
stretching,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'stretching' and dwtm.pos='noun' and dwtm.wid=dw.id;"
continuity,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'continuity' and dwtm.pos='noun' and dwtm.wid=dw.id;"
shambles,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'shambles' and dwtm.pos='noun' and dwtm.wid=dw.id;"
claustrophobic,adjective,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'claustrophobic' and dwtm.pos='adjective' and dwtm.wid=dw.id;"
claustrophobia,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'claustrophobia' and dwtm.pos='noun' and dwtm.wid=dw.id;"
headstrong,adjective,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'headstrong' and dwtm.pos='adjective' and dwtm.wid=dw.id;"
tact,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'tact' and dwtm.pos='noun' and dwtm.wid=dw.id;"
tactful,adjective,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'tactful' and dwtm.pos='adjective' and dwtm.wid=dw.id;"
tactfully,adverb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'tactfully' and dwtm.pos='adverb' and dwtm.wid=dw.id;"
blister,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'blister' and dwtm.pos='noun' and dwtm.wid=dw.id;"
blister,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'blister' and dwtm.pos='verb' and dwtm.wid=dw.id;"
sponsorship,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'sponsorship' and dwtm.pos='noun' and dwtm.wid=dw.id;"
ego,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'ego' and dwtm.pos='noun' and dwtm.wid=dw.id;"
class,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'class' and dwtm.pos='verb' and dwtm.wid=dw.id;"
saloon,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'saloon' and dwtm.pos='noun' and dwtm.wid=dw.id;"
lap,noun,c1,e.g. run a lap,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'lap' and dwtm.pos='noun' and dwtm.wid=dw.id;"
beforehand,adverb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'beforehand' and dwtm.pos='adverb' and dwtm.wid=dw.id;"
slob,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'slob' and dwtm.pos='noun' and dwtm.wid=dw.id;"
coverage,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'coverage' and dwtm.pos='noun' and dwtm.wid=dw.id;"
unplug,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'unplug' and dwtm.pos='verb' and dwtm.wid=dw.id;"
gadget,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'gadget' and dwtm.pos='noun' and dwtm.wid=dw.id;"
rediscover,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'rediscover' and dwtm.pos='verb' and dwtm.wid=dw.id;"
subtly,adverb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'subtly' and dwtm.pos='adverb' and dwtm.wid=dw.id;"
brainwash,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'brainwash' and dwtm.pos='verb' and dwtm.wid=dw.id;"
brainwashing,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'brainwashing' and dwtm.pos='noun' and dwtm.wid=dw.id;"
implicate,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'implicate' and dwtm.pos='verb' and dwtm.wid=dw.id;"
craft,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'craft' and dwtm.pos='verb' and dwtm.wid=dw.id;"
malfunction,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'malfunction' and dwtm.pos='verb' and dwtm.wid=dw.id;"
dependent,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'dependent' and dwtm.pos='noun' and dwtm.wid=dw.id;"
wayside,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'wayside' and dwtm.pos='noun' and dwtm.wid=dw.id;"
expire,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'expire' and dwtm.pos='verb' and dwtm.wid=dw.id;"
con,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'con' and dwtm.pos='verb' and dwtm.wid=dw.id;"
con,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'con' and dwtm.pos='noun' and dwtm.wid=dw.id;"
puzzle,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'puzzle' and dwtm.pos='verb' and dwtm.wid=dw.id;"
damply,adverb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'damply' and dwtm.pos='adverb' and dwtm.wid=dw.id;"
ghostly,adjective,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'ghostly' and dwtm.pos='adjective' and dwtm.wid=dw.id;"
carrier,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'carrier' and dwtm.pos='noun' and dwtm.wid=dw.id;"
washtub,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'washtub' and dwtm.pos='noun' and dwtm.wid=dw.id;"
apt,adjective,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'apt' and dwtm.pos='adjective' and dwtm.wid=dw.id;"
apt to,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'apt to' and dwtm.pos='verb' and dwtm.wid=dw.id;"
portable,adjective,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'portable' and dwtm.pos='adjective' and dwtm.wid=dw.id;"
portable,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'portable' and dwtm.pos='noun' and dwtm.wid=dw.id;"
ornamental,adjective,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'ornamental' and dwtm.pos='adjective' and dwtm.wid=dw.id;"
placid,adjective,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'placid' and dwtm.pos='adjective' and dwtm.wid=dw.id;"
placidly,adverb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'placidly' and dwtm.pos='adverb' and dwtm.wid=dw.id;"
unmanageable,adjective,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'unmanageable' and dwtm.pos='adjective' and dwtm.wid=dw.id;"
appliance,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'appliance' and dwtm.pos='noun' and dwtm.wid=dw.id;"
relinquish,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'relinquish' and dwtm.pos='verb' and dwtm.wid=dw.id;"
tedious,adjective,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'tedious' and dwtm.pos='adjective' and dwtm.wid=dw.id;"
tedium,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'tedium' and dwtm.pos='noun' and dwtm.wid=dw.id;"
exert,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'exert' and dwtm.pos='verb' and dwtm.wid=dw.id;"
extortion,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'extortion' and dwtm.pos='noun' and dwtm.wid=dw.id;"
alleviate,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'alleviate' and dwtm.pos='verb' and dwtm.wid=dw.id;"
elaborate,adjective,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'elaborate' and dwtm.pos='adjective' and dwtm.wid=dw.id;"
elaborate,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'elaborate' and dwtm.pos='verb' and dwtm.wid=dw.id;"
elaboration,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'elaboration' and dwtm.pos='noun' and dwtm.wid=dw.id;"
detest,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'detest' and dwtm.pos='verb' and dwtm.wid=dw.id;"
detestable,adjective,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'detestable' and dwtm.pos='adjective' and dwtm.wid=dw.id;"
suds,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'suds' and dwtm.pos='noun' and dwtm.wid=dw.id;"
agreeable,adjective,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'agreeable' and dwtm.pos='adjective' and dwtm.wid=dw.id;"
prowl,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'prowl' and dwtm.pos='verb' and dwtm.wid=dw.id;"
speculate,verb,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'speculate' and dwtm.pos='verb' and dwtm.wid=dw.id;"
speculation,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'speculation' and dwtm.pos='noun' and dwtm.wid=dw.id;"
speculative,adjective,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'speculative' and dwtm.pos='adjective' and dwtm.wid=dw.id;"
peacock,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'peacock' and dwtm.pos='noun' and dwtm.wid=dw.id;"
disdain,noun,c1,,"update dict_word_trans_map dwtm,dict_word dw set dwtm.cefr='c1' where  dw.word= 'disdain' and dwtm.pos='noun' and dwtm.wid=dw.id;"
